name,group,primaryColor,secondaryColor,foundedDate,description
Bananaticos FC,A,#ffbf06,#333333,2026-09-01,"Comem banana antes, durante e depois do jogo — e ainda guardam a casca pra deixar o goleiro adversário nervoso na cobrança de pênalti. Ninguém sabe se o nome vem do potássio ou da cara que fazem quando tomam gol."
Varzea FC,A,#e6c35f,#3f3f3d,2026-09-01,"O time mais tradicional da categoria ""chuteira emprestada e uniforme que não combina"". Jogam com o coração, discutem o pênalti com a alma, e sempre tem alguém carregando o isotônico em garrafa PET reaproveitada."
Inter de Limão,A,#87921a,#f5f4f0,2026-09-01,"Nasceram amargos e cresceram ácidos: quando a vida dá limão, o Inter de Limão faz gol de bicicleta. O time favorito pra azedar o sorriso de quem debocha antes da bola rolar."
Ousadia e Alegria FC,A,#d1972b,#333333,2026-09-01,"Tática só se for no dicionário. Aqui é samba na perna e viradão no peito — jogam de peito aberto citando aquele comentarista de Carnaval a cada disputa de bola dividida."
Lazionados,B,#002c8d,#ffffff,2026-09-01,"Nasceram torcendo pro time de Roma e resolveram fundar o próprio, com a mesma águia esperta e a mesma paixão exagerada. Xingam em italiano quando o juiz apita contra."
Baile de Munich,B,#cc000c,#ffffff,2026-09-01,"Cruzamento raro entre precisão alemã e paredão de funk: enquanto uns calculam o ângulo, esses aqui já cruzaram na cara do gol no talento e no repique. Aquecimento é dança, comemoração de gol é festa até acabar o intervalo."
Chamas FC,B,#f87f36,#333333,2026-09-01,"Pegam fogo antes mesmo de aquecer — literalmente, a torcida já pediu pra alguém levar extintor pro banco de reservas. Não esfriam o jogo: ou incendeiam a partida, ou apagam de vez no fim."
Gotham FC,C,#160024,#e62b7a,2026-09-01,"Defesa que só aparece quando o sol se põe e o atacante adversário já cometeu o erro. Não tem super-herói no elenco, mas juram que o goleiro usa capa por baixo da camisa."
Paysanduba,C,#003e87,#ffffff,2026-09-01,"O nome já entrega a prioridade: ganhar é bom, mas o lanche do intervalo é sagrado. Se o técnico quer motivação de verdade, é só prometer sanduíche em caso de vitória."
Katchau FC,C,#b0211d,#3f3f3d,2026-09-01,"""Katchau!"" é o barulho que fazem antes de sair driblando todo mundo, no estilo ""nem eu sei o que vou fazer, mas vai ser rápido"". Time perigoso no contra-ataque e nos trocadilhos de arquibancada."
Flamingos FC,C,#f70460,#ffffff,2026-09-01,"Jogam com a elegância de quem sabe que está bonito mesmo suado. Ficam numa perna só de birra quando perdem escanteio, mas no ataque voam rosa e alto."
Smurfs FC,C,#000b39,#f0cd01,2026-09-01,"Pequenos, azuizinhos e organizados demais pra um campeonato de recreio. O único medo do elenco é enfrentar um técnico adversário parecido com o Gargamel."
